image_path,fold
data/D1/Anthracnose/1730354693037.png,0
data/D1/Anthracnose/1730354693052.png,0
data/D1/Anthracnose/53e45a15-9c45-40be-bd04-6a637b31d5fd.png,2
data/D1/Anthracnose/Anthracnose(105).png,3
data/D1/Anthracnose/Anthracnose(108).png,1
data/D1/Anthracnose/Anthracnose(114).png,0
data/D1/Anthracnose/Anthracnose(116).png,3
data/D1/Anthracnose/Anthracnose(117).png,3
data/D1/Anthracnose/Anthracnose(126).png,1
data/D1/Anthracnose/Anthracnose(135).png,1
data/D1/Anthracnose/Anthracnose(147).png,0
data/D1/Anthracnose/Anthracnose(153).png,4
data/D1/Anthracnose/Anthracnose(159).png,4
data/D1/Anthracnose/Anthracnose(174).png,0
data/D1/Anthracnose/Anthracnose(179).png,3
data/D1/Anthracnose/Anthracnose(180).png,2
data/D1/Anthracnose/Anthracnose(186).png,1
data/D1/Anthracnose/Anthracnose(192).png,0
data/D1/Anthracnose/Anthracnose(196).png,2
data/D1/Anthracnose/Anthracnose(198).png,2
data/D1/Anthracnose/Anthracnose(204).png,0
data/D1/Anthracnose/Anthracnose(207).png,3
data/D1/Anthracnose/Anthracnose(211).png,1
data/D1/Anthracnose/Anthracnose(213).png,3
data/D1/Anthracnose/Anthracnose(216).png,3
data/D1/Anthracnose/Anthracnose(222).png,4
data/D1/Anthracnose/Anthracnose(227).png,4
data/D1/Anthracnose/Anthracnose(246).png,4
data/D1/Anthracnose/Anthracnose(249).png,2
data/D1/Anthracnose/Anthracnose(252).png,2
data/D1/Anthracnose/Anthracnose(258).png,0
data/D1/Anthracnose/Anthracnose(259).png,2
data/D1/Anthracnose/Anthracnose(260).png,3
data/D1/Anthracnose/Anthracnose(261).png,3
data/D1/Anthracnose/Anthracnose(264).png,0
data/D1/Anthracnose/Anthracnose(267).png,0
data/D1/Anthracnose/Anthracnose(270).png,4
data/D1/Anthracnose/Anthracnose(291).png,2
data/D1/Anthracnose/Anthracnose(292).png,1
data/D1/Anthracnose/Anthracnose(294).png,0
data/D1/Anthracnose/Anthracnose(333).png,2
data/D1/Anthracnose/Anthracnose(52).png,3
data/D1/Anthracnose/Anthracnose(75).png,2
data/D1/Anthracnose/Anthracnose(84).png,1
data/D1/Anthracnose/Anthracnose_decreased_1.png,0
data/D1/Anthracnose/Anthracnose_decreased_10.png,1
data/D1/Anthracnose/Anthracnose_decreased_11.png,0
data/D1/Anthracnose/Anthracnose_decreased_12.png,4
data/D1/Anthracnose/Anthracnose_decreased_13.png,4
data/D1/Anthracnose/Anthracnose_decreased_14.png,0
data/D1/Anthracnose/Anthracnose_decreased_15.png,3
data/D1/Anthracnose/Anthracnose_decreased_16.png,2
data/D1/Anthracnose/Anthracnose_decreased_17.png,1
